Sample,Location,Compound_Class,C,NOSC,CUE,lambda,AImod,DBE,Calculated m/z,Rel. abundance gC/gC WOEM,bioavail_OC conc mgC/gsoil,bioavail_WEOC mgC/gsoil,alpha_diversity,abs_stoichMet_donor,stoichMet_hco3,qs_max,mu_max,DR,BiomeType
MLBS_TOP,TOP,Lignin-like,25.501960784313727,-0.28771336306320094,0.5099741690682245,0.037678813736065964,0.3160517608594958,12.247385620915033,520.841570108527,0.41810972996142304,0.04083400373955703,0.0976633663687391,1530,0.07689148481095448,0.9608836302966156,0.6584657318079117,0.3358005144386401,4.287713363063201,Temperate forests
MLBS_TOP,TOP,Cond Hydrocarbon-like,28.18147448015123,0.29621679635095344,0.4515099933696598,0.038351958629676566,0.6502428172919251,21.273629489603024,560.0825108258865,0.31950278611230176,0.031203717655918613,0.0976633663687391,1058,0.07859029534367251,1.214790402615255,0.6898000579542163,0.31145161959329914,3.7037832036490466,Temperate forests
MLBS_TOP,TOP,Tannin-like,20.231155778894472,0.48683556880278234,0.43227425403332576,0.05525353132481644,0.2790506098646454,11.219849246231156,502.06494845319673,0.08628375482211743,0.008426761958862914,0.0976633663687391,398,0.11434572589495218,1.3133461932315451,1.0130090497737558,0.43789773131995846,3.5131644311972177,Temperate forests
MLBS_TOP,TOP,Unsat Hydrocarbon-like,31.171821305841924,-0.9381545584830775,0.5756537456458274,0.023648133054803476,0.4321824916899336,15.11168384879725,501.83495817455747,0.09720317188169737,0.00949318898768573,0.0976633663687391,291,0.05572838881491813,0.7371553778011076,0.4677412153413404,0.26925698260417413,4.9381545584830775,Temperate forests
MLBS_TOP,TOP,Protein-like,16.588541666666668,-0.5431711145996863,0.5338011138697499,0.05264820246077162,0.02101003751988668,4.484375,379.09210746502487,0.03412987569652808,0.0033332385542695466,0.0976633663687391,192,0.11293077702906047,0.8733569001956126,0.9553559087767794,0.509970048247092,4.543171114599686,Temperate forests
MLBS_TOP,TOP,Lipid-like,22.27956989247312,-1.1071428571428577,0.5923576362866703,0.030887909573666775,0.051414195516981974,4.774193548387097,439.44034391461173,0.02220317188169739,0.0021684365100302985,0.0976633663687391,93,0.07577207945783665,0.6881693401788984,0.6327726327726326,0.37482770105608987,5.107142857142858,Temperate forests
MLBS_TOP,TOP,Amino Sugar-like,17.60655737704918,-0.2905027932960902,0.5097459928379546,0.054625180537871375,0.0,3.762295081967213,459.17951331727596,0.011508786969567083,0.0011239868782686006,0.0976633663687391,61,0.1114222010220427,0.9617613753717026,0.9531249999999999,0.4858516494236754,4.29050279329609,Temperate forests
MLBS_TOP,TOP,Carbohydrate-like,16.48076923076923,-0.1656942823803984,0.4903532007428552,0.06256449688444006,0.0,2.201923076923077,480.1716560832539,0.00918345477925418,0.000896887108637049,0.0976633663687391,52,0.12374096747267532,1.0393463293092835,1.048739495798319,0.5142527685101539,4.165694282380398,Temperate forests
MLBS_TOP,TOP,Other,12.5,0.20571428571428596,0.45865939065011413,0.08586715470110572,0.24379509379509376,3.3214285714285716,365.3909990921562,0.0018752678954136305,0.0001831449755093157,0.0976633663687391,14,0.17442137156857557,1.1802671446071948,1.5180722891566267,0.6962781111074022,3.794285714285714,Temperate forests
MOAB_TOP,TOP,Lignin-like,19.832072617246595,-0.12815622854527398,0.5106172666886227,0.04744893058392666,0.31541640243295194,9.868381240544629,426.533651605141,0.49473525304751487,0.018468246566210336,0.037329554448461,661,0.09874983974203147,0.9584139927054318,0.8794441569960826,0.4490593716506197,4.128156228545274,Desert shrubland
